 ;Startzeit;Fertigstellungszeit;Dauer (in min);Alter des Kindes;Startort für den Schulweg;Schulweg (in km);Wohnort;lng;lat;Fahrgemeinschaften;Zufriedenheit:Wegbeschaffenheit;Zufriedenheit:Sicherheit;Zufriedenheit:Zeitdauer;Zufriedenheit:Komfortabilität;Zufriedenheit:Sozialer Zusammenhalt;Zufriedenheit:Wegbeschaffenheit.1;Zufriedenheit:Sicherheit.1;Zufriedenheit:Zeitdauer.1;Zufriedenheit:Komfortabilität.1;Zufriedenheit:Sozialer Zusammenhalt.1;Wenn Du mit dem Auto zur Schule fährst - was sind die Gründe dafür?;Wie wichtig ist Dir eine umweltverträgliche Form des Schulweges?;Kannst Du Dir vorstellen, vom Auto auf eine andere Verkehrsart umzusteigen - wenn ja auf welche?;Was ich sonst noch hinzufügen möchte (Anregungen und Anmerkungen);Wenn Du möchtest - gib bitte Deinen Namen an, damit wir mit Dir ins Gespräch kommen können.
107;28.10.2024 22:07;28.10.2024 22:11;4;"JG 1-2;JG 3-4";Ich habe einen Wohnort;12.0;Krögis ;13.3797954;51.1204736;Ja;Sehr zufrieden;Zufrieden;Unzufrieden;Unzufrieden;Unzufrieden;Sehr unzufrieden;Sehr unzufrieden;Unzufrieden;Unzufrieden;Unzufrieden;"Fehlende oder schlechte Verbindung mit Bus/ Bahn;Fehlende oder unsichere Radwege;Verbindung mit dem Arbeitsweg der Eltern;Möglichkeit, mehrere eigene Kinder zu fahren;Möglichkeit, Fahrgemeinschaften zu bilden";3;"Fahrrad;Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);Ich bilde eine Fahrgemeinschaft mit anderen";;
108;28.10.2024 22:13;28.10.2024 22:16;3;JG 3-4;Ich habe einen Wohnort;3.0;Meißen;13.4704939;51.1630871;Nein;Zufrieden;Unzufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Sehr zufrieden;Sehr zufrieden;"Verfügbarkeit von Alternativen;Tagesablauf;Verbindung mit dem Arbeitsweg der Eltern";3;Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);Die Taktung und die mangelhafte Zuverlässigkeit der S-Bahn nach Dresden ist der entscheidende Grund dafür, weshalb ich das Auto nutze.;
109;29.10.2024 05:33;29.10.2024 05:39;6.0;JG 3-4;Ich habe einen Wohnort;1.5;Meißen ;13.4704939;51.1630871;Ich fahre nicht mit dem Auto zur Schule;;;;;;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;;2;;;
110;29.10.2024 05:40;29.10.2024 05:41;1;Klasse 7-10;Ich habe einen Wohnort;1.5;Meißen ;13.4704939;51.1630871;Ich fahre nicht mit dem Auto zur Schule;;;;;;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;;2;;;
111;29.10.2024 19:52;29.10.2024 19:56;4;JG 1-2;Ich habe einen Wohnort;18.0;Großenhain;13.5317153;51.2911845;Ja;;;;;;;;;;;"Fehlende oder schlechte Verbindung mit Bus/ Bahn;Tagesablauf;Zeit/ Zeitersparnis;Verbindung mit dem Arbeitsweg der Eltern;Möglichkeit, mehrere eigene Kinder zu fahren;Finanzielle Aspekte";4;Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);;
112;30.10.2024 23:34;30.10.2024 23:37;3;"JG 3-4;JG 5-6";Ich habe einen Wohnort;12.0;Coswig;13.5783983;51.1267305;Ich fahre nicht mit dem Auto zur Schule;Zufrieden;Zufrieden;Unzufrieden;Zufrieden;Zufrieden;;;;;;;3;Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);;
113;03.11.2024 16:51;03.11.2024 16:56;5;JG 3-4;Ich habe einen Wohnort;16.0;Großenhain ;13.5317153;51.2911845;Nein;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;;;;;;;2;;;Philipp & Anja Böhme 
114;05.11.2024 12:04;05.11.2024 12:06;2;JG 1-2;Ich habe einen Wohnort;2.2;Meißen;13.4704939;51.1630871;Ich fahre nicht mit dem Auto zur Schule;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;;;;;;;3;;;
115;05.11.2024 20:32;05.11.2024 20:34;2;JG 3-4;Ich habe einen Wohnort;4.0;Niederjahna;13.4347574;51.1658398;Ich fahre nicht mit dem Auto zur Schule;Zufrieden;Zufrieden;Sehr zufrieden;Zufrieden;Zufrieden;;;;;;;3;;;Miriam
116;20.11.2024 11:02;20.11.2024 11:54;52.0;JG 3-4;Ich habe einen Wohnort;11.0;Taubenheim (Klipphausen);13.4619324;51.0948532;Nein;Zufrieden;Sehr unzufrieden;Unzufrieden;Zufrieden;Zufrieden;;;;;;"Fehlende oder schlechte Verbindung mit Bus/ Bahn;Fehlende oder unsichere Radwege;Möglichkeit, mehrere eigene Kinder zu fahren;Tagesablauf";4;"Fahrrad;Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn)";"Der Fahrplan mit den ÖPNV ist ungünstig, um komplett auf den Bus umzusteigen. Vor allem am Morgen fährt der Bus für uns zu zeitig. Wenn Sachsens Schulen später beginnen würden (ich habe von entsprechenden Pläne dieses Jahr in der SZ gelesen) wäre eine Anpassung des Fahrplans wünschenswert. Aktuell sind die Kinder 7:10 Uhr in Meißen am Busbahnhof.

Außerdem fehlt ein Radweg entlang der S177 zwischen Meißen und Wilsdruff. Der Bürgermeister Olaf Raschke hat wiederholt im Wahlkampf zur Bürgermeisterwahl das Versprechen gegeben, solch einen Radweg zu bauen. 

In der Ortslage Taubenheim fehlt ein Fußweg um unteren Teil des Dorfes. Müssen die Kinder am Ortseingang Taubenheim aussteigen, weil einige Busse  von dort aus in Richtung Wilsdruff abbiegen, ist es vor allem in der dunklen Jahreszeit für die Kinder (und auch für alle anderen) viel zu gefährlich auf der schmalen und stark von LKWs befahrenen Hauptstraße zu laufen. ";Thomas Feldt 
117;20.11.2024 23:11;20.11.2024 23:21;10.0;"JG 1-2;Klasse 7-10";Ich habe einen Wohnort;1.0;Meißen;13.4704939;51.1630871;Nein;;;;;;Zufrieden;Unzufrieden;Sehr zufrieden;Zufrieden;Zufrieden;"Fehlende oder schlechte Verbindung mit Bus/ Bahn;Fehlende oder unsichere Radwege;Tagesablauf;Verbindung mit dem Arbeitsweg der Eltern;Möglichkeit, mehrere eigene Kinder zu fahren;Finanzielle Aspekte";3;"Zu Fuß;Fahrrad";"Wir nutzen eine Mischform zwischen Auto und zu Fuß gehen.
Der Schulweg zwischen Altstadtbrücke und Schule ist morgens häufig sehr unsicher durch z.B.: 
- zu schnell fahrende Autos, 
- Müllautos, 
- Ausladesituationen von Firmen, die die Straße blockieren und andere PKW dazu veranlassen über den Bürgersteig zu fahren, 
- Parken von Fahrzeugen in 2. Reihe, um die Kinder 'abzuwerfen',
- fehlender Radweg,
- einziger Zufahrsweg zu den Schulen auf dem Crassoberg.";
118;21.11.2024 20:44;21.11.2024 20:52;8.0;JG 1-2;Ich habe einen Wohnort;9.5;Gauernitz;13.5558206;51.1139914;Ich fahre nicht mit dem Auto zur Schule;Zufrieden;Unzufrieden;Zufrieden;Zufrieden;Zufrieden;;;;;;;3;;;
